date,time,latitude,longitude
2024-12-14,13:55:45,19.0488210,72.9203960
2024-12-14,13:55:46,19.0487870,72.9204050
2024-12-14,13:55:47,19.0487520,72.9204100
2024-12-14,13:55:48,19.0487180,72.9204130
2024-12-14,13:55:49,19.0486820,72.9204160
2024-12-14,13:55:50,19.0486450,72.9204190
2024-12-14,13:55:51,19.0486100,72.9204230
2024-12-14,13:55:52,19.0485710,72.9204200
2024-12-14,13:55:53,19.0485330,72.9204220
2024-12-14,13:55:54,19.0484900,72.9204230
2024-12-14,13:55:55,19.0484470,72.9204270
2024-12-14,13:55:56,19.0484050,72.9204290
2024-12-14,13:55:57,19.0483620,72.9204220
2024-12-14,13:55:58,19.0483190,72.9204130
2024-12-14,13:55:59,19.0482760,72.9204040
2024-12-14,13:56:00,19.0482330,72.9203910
2024-12-14,13:56:01,19.0481910,72.9203800
2024-12-14,13:56:02,19.0481510,72.9203640
2024-12-14,13:56:03,19.0481100,72.9203470
2024-12-14,13:56:04,19.0480700,72.9203290
2024-12-14,13:56:05,19.0480290,72.9203040
2024-12-14,13:56:06,19.0479870,72.9202830
2024-12-14,13:56:07,19.0479460,72.9202630
2024-12-14,13:56:08,19.0479050,72.9202400
2024-12-14,13:56:09,19.0478630,72.9202170
2024-12-14,13:56:10,19.0478200,72.9201970
2024-12-14,13:56:11,19.0477790,72.9201680
2024-12-14,13:56:12,19.0477360,72.9201430
2024-12-14,13:56:13,19.0476940,72.9201160
2024-12-14,13:56:14,19.0476570,72.9200900
2024-12-14,13:56:15,19.0476170,72.9200680
2024-12-14,13:56:16,19.0475790,72.9200460
2024-12-14,13:56:17,19.0475420,72.9200240
2024-12-14,13:56:18,19.0475070,72.9200010
2024-12-14,13:56:19,19.0474730,72.9199810
2024-12-14,13:56:20,19.0474330,72.9199620
2024-12-14,13:56:21,19.0473920,72.9199430
2024-12-14,13:56:22,19.0473510,72.9199220
2024-12-14,13:56:23,19.0473080,72.9198970
2024-12-14,13:56:24,19.0472690,72.9198800
2024-12-14,13:56:25,19.0472310,72.9198620
2024-12-14,13:56:26,19.0471910,72.9198480
2024-12-14,13:56:27,19.0471520,72.9198360
2024-12-14,13:56:28,19.0471220,72.9198240
2024-12-14,13:56:29,19.0470920,72.9198150
2024-12-14,13:56:30,19.0470840,72.9198130
2024-12-14,13:56:31,19.0470660,72.9198070
2024-12-14,13:56:32,19.0470550,72.9198030
2024-12-14,13:56:33,19.0470190,72.9197900
2024-12-14,13:56:34,19.0470030,72.9197850
2024-12-14,13:56:35,19.0469720,72.9197760
2024-12-14,13:56:36,19.0469440,72.9197690
2024-12-14,13:56:37,19.0469070,72.9197580
2024-12-14,13:56:38,19.0468640,72.9197450
2024-12-14,13:56:39,19.0468190,72.9197310
2024-12-14,13:56:40,19.0467740,72.9197140
2024-12-14,13:56:41,19.0467280,72.9196960
2024-12-14,13:56:42,19.0466830,72.9196760
2024-12-14,13:56:43,19.0466370,72.9196530
2024-12-14,13:56:44,19.0465920,72.9196330
2024-12-14,13:56:45,19.0465450,72.9196110
2024-12-14,13:56:46,19.0465000,72.9195850
